1870
145  BOL  4
360  ROM  4
630  IRN  7

1908
2  USA  1
70  MEX  1
101  VEN  1
135  PER  1
140  BRA  1
200  UKG  2
210  NTH  3
211  BEL  4
220  FRN  5
230  SPN  5
255  GMY  5
325  ITA  5
710  CHN  1
740  JPN  1
155  CHL  6
160  ARG  4
225  SWZ  5
235  POR  2
350  GRC  5
365  RUS  3
380  SWD  7
385  NOR  7
390  DEN  6
640  TUR  5
360  ROM  5
800  THI  2
300  AUH  5
145  BOL  5
355  BUL  5
345  YUG  5
630  IRN  3

1909
2  USA  1
40  CUB  1
70  MEX  1
101  VEN  2
140  BRA  1
155  CHL  3
200  UKG  4
210  NTH  5
211  BEL  5
220  FRN  2
230  SPN  1
255  GMY  6
325  ITA  7
710  CHN  1
740  JPN  1
160  ARG  5
225  SWZ  7
235  POR  8
300  AUH  6
350  GRC  6
365  RUS  5
380  SWD  9
385  NOR  10
390  DEN  11
600  MOR  2
640  TUR  6
135  PER  8
360  ROM  6
800  THI  8
355  BUL  6
345  YUG  6
630  IRN  5

1910
2  USA  1
40  CUB  1
70  MEX  1
92  SAL  1
101  VEN  1
140  BRA  1
200  UKG  2
220  FRN  3
255  GMY  4
325  ITA  3
740  JPN  5
130  ECU  2
135  PER  2
150  PAR  6
160  ARG  6
155  CHL  3
165  URU  2
210  NTH  4
211  BEL  4
230  SPN  3
235  POR  2
350  GRC  2
365  RUS  4
380  SWD  7
385  NOR  8
390  DEN  9
600  MOR  3
630  IRN  4
640  TUR  10
710  CHN  5
800  THI  2
91  HON  2
360  ROM  4
225  SWZ  3
300  AUH  3
345  YUG  4
355  BUL  10

1911
2  USA  1
40  CUB  1
42  DOM  1
70  MEX  1
92  SAL  1
93  NIC  1
100  COL  1
101  VEN  1
135  PER  1
200  UKG  2
210  NTH  3
220  FRN  4
255  GMY  5
325  ITA  5
740  JPN  6
140  BRA  2
145  BOL  2
150  PAR  7
160  ARG  7
155  CHL  5
211  BEL  3
230  SPN  4
235  POR  2
350  GRC  2
365  RUS  2
380  SWD  5
385  NOR  5
390  DEN  5
630  IRN  2
640  TUR  2
91  HON  2
360  ROM  3
225  SWZ  4
600  MOR  4
300  AUH  5
345  YUG  5
710  CHN  6
800  THI  6

1912
2  USA  1
40  CUB  1
41  HAI  1
42  DOM  1
70  MEX  1
91  HON  1
92  SAL  1
93  NIC  1
100  COL  1
101  VEN  1
130  ECU  1
135  PER  1
140  BRA  2
200  UKG  3
210  NTH  4
211  BEL  4
220  FRN  4
230  SPN  4
255  GMY  4
325  ITA  4
740  JPN  5
235  POR  2
145  BOL  3
150  PAR  6
160  ARG  6
155  CHL  3
165  URU  3
350  GRC  3
365  RUS  7
380  SWD  3
385  NOR  3
390  DEN  3
640  TUR  3
800  THI  3
225  SWZ  4
300  AUH  4
355  BUL  4
360  ROM  4
345  YUG  4
630  IRN  7
710  CHN  5

1913
2  USA  1
40  CUB  1
41  HAI  1
42  DOM  1
70  MEX  1
90  GUA  1
91  HON  1
92  SAL  1
93  NIC  1
100  COL  1
101  VEN  1
130  ECU  1
135  PER  2
140  BRA  3
155  CHL  4
200  UKG  5
210  NTH  6
211  BEL  6
220  FRN  1
230  SPN  6
255  GMY  7
325  ITA  7
740  JPN  5
145  BOL  5
150  PAR  8
160  ARG  8
165  URU  7
235  POR  9
350  GRC  5
365  RUS  6
380  SWD  9
385  NOR  9
390  DEN  9
640  TUR  5
710  CHN  5
800  THI  5
225  SWZ  1
300  AUH  7
355  BUL  7
360  ROM  7
630  IRN  6

1920
2  USA  1
20  CAN  2
40  CUB  1
70  MEX  1
90  GUA  1
91  HON  1
92  SAL  1
93  NIC  1
94  COS  1
95  PAN  1
101  VEN  3
130  ECU  2
135  PER  2
140  BRA  2
145  BOL  2
155  CHL  2
160  ARG  4
165  URU  2
200  UKG  2
210  NTH  4
211  BEL  4
220  FRN  4
225  SWZ  4
230  SPN  4
235  POR  2
255  GMY  4
315  CZE  4
325  ITA  4
350  GRC  2
380  SWD  4
385  NOR  4
390  DEN  5
710  CHN  2
740  JPN  2
900  AUL  2
100  COL  3
150  PAR  4
360  ROM  4
365  RUS  2
367  LAT  5
375  FIN  2
560  SAF  2
630  IRN  2
800  THI  2
920  NEW  2
640  TUR  2
305  AUS  4
355  BUL  4
366  EST  5
310  HUN  4

1921
2  USA  1
20  CAN  1
40  CUB  1
70  MEX  1
90  GUA  1
91  HON  1
92  SAL  1
93  NIC  1
94  COS  1
95  PAN  1
101  VEN  1
130  ECU  1
135  PER  1
140  BRA  1
145  BOL  1
155  CHL  1
160  ARG  2
200  UKG  3
210  NTH  4
211  BEL  4
220  FRN  5
225  SWZ  5
230  SPN  5
235  POR  1
325  ITA  6
350  GRC  1
380  SWD  4
385  NOR  4
710  CHN  1
740  JPN  1
900  AUL  1
150  PAR  2
165  URU  3
365  RUS  4
367  LAT  4
375  FIN  4
390  DEN  4
560  SAF  3
800  THI  3
920  NEW  3
640  TUR  3
255  GMY  4
310  HUN  7
315  CZE  7
305  AUS  7
345  YUG  7
290  POL  7
355  BUL  6
360  ROM  6
339  ALB  6
368  LIT  4
366  EST  4

1922
2  USA  1
20  CAN  1
40  CUB  1
70  MEX  1
90  GUA  1
91  HON  1
92  SAL  1
93  NIC  1
94  COS  1
95  PAN  1
100  COL  1
101  VEN  1
130  ECU  1
135  PER  1
140  BRA  1
145  BOL  1
155  CHL  1
160  ARG  2
165  URU  1
200  UKG  3
210  NTH  3
211  BEL  3
220  FRN  3
225  SWZ  3
230  SPN  3
255  GMY  4
325  ITA  5
350  GRC  1
365  RUS  4
380  SWD  4
385  NOR  4
710  CHN  1
740  JPN  1
150  PAR  2
235  POR  3
367  LAT  4
375  FIN  4
390  DEN  4
560  SAF  3
630  IRN  3
900  AUL  3
920  NEW  3
640  TUR  3
315  CZE  6
355  BUL  4
366  EST  4
290  POL  6
310  HUN  6
360  ROM  6
305  AUS  6
339  ALB  5
345  YUG  5
800  THI  1

1923
2  USA  1
20  CAN  1
40  CUB  1
70  MEX  1
90  GUA  1
91  HON  1
92  SAL  1
93  NIC  1
94  COS  1
95  PAN  1
100  COL  1
101  VEN  1
130  ECU  1
135  PER  1
140  BRA  2
145  BOL  1
155  CHL  1
160  ARG  2
200  UKG  3
210  NTH  2
211  BEL  2
220  FRN  2
225  SWZ  2
325  ITA  2
350  GRC  1
365  RUS  4
380  SWD  4
385  NOR  4
710  CHN  1
740  JPN  1
150  PAR  2
255  GMY  4
165  URU  3
235  POR  3
366  EST  4
367  LAT  4
375  FIN  4
390  DEN  4
560  SAF  3
630  IRN  3
640  TUR  2
800  THI  3
900  AUL  3
920  NEW  3
230  SPN  2
315  CZE  4
360  ROM  4
368  LIT  4
290  POL  4
305  AUS  2
345  YUG  2
310  HUN  4
339  ALB  2
355  BUL  2

1924
2  USA  1
20  CAN  1
40  CUB  1
70  MEX  1
90  GUA  2
91  HON  1
92  SAL  2
93  NIC  1
94  COS  1
95  PAN  1
100  COL  1
101  VEN  1
130  ECU  1
135  PER  1
140  BRA  1
145  BOL  1
155  CHL  1
160  ARG  3
200  UKG  4
210  NTH  5
211  BEL  5
220  FRN  5
230  SPN  5
255  GMY  2
325  ITA  3
350  GRC  1
365  RUS  4
380  SWD  6
385  NOR  7
710  CHN  1
740  JPN  1
900  AUL  1
150  PAR  3
165  URU  4
205  IRE  4
225  SWZ  5
235  POR  2
366  EST  2
367  LAT  2
390  DEN  2
560  SAF  4
630  IRN  4
920  NEW  4
290  POL  2
305  AUS  2
315  CZE  2
355  BUL  2
360  ROM  2
368  LIT  2
375  FIN  2
345  YUG  2
310  HUN  2
339  ALB  3
640  TUR  3

1925
2  USA  1
20  CAN  1
40  CUB  1
70  MEX  1
90  GUA  1
91  HON  1
92  SAL  1
93  NIC  1
94  COS  1
100  COL  1
101  VEN  1
130  ECU  1
135  PER  1
140  BRA  1
155  CHL  1
160  ARG  1
200  UKG  2
210  NTH  3
211  BEL  3
220  FRN  2
230  SPN  2
255  GMY  4
325  ITA  5
350  GRC  1
365  RUS  5
380  SWD  6
385  NOR  4
710  CHN  1
740  JPN  1
145  BOL  2
165  URU  2
205  IRE  2
225  SWZ  2
235  POR  2
366  EST  4
367  LAT  4
375  FIN  4
390  DEN  4
560  SAF  2
630  IRN  5
900  AUL  2
920  NEW  2
290  POL  4
305  AUS  4
315  CZE  4
368  LIT  4
355  BUL  4
310  HUN  4
339  ALB  5
345  YUG  5
640  TUR  5

1926
2  USA  1
20  CAN  1
40  CUB  1
42  DOM  1
90  GUA  1
91  HON  1
93  NIC  1
94  COS  1
95  PAN  1
100  COL  1
130  ECU  1
135  PER  1
155  CHL  1
160  ARG  2
165  URU  1
200  UKG  3
210  NTH  4
220  FRN  4
230  SPN  4
305  AUS  5
350  GRC  1
365  RUS  6
380  SWD  7
385  NOR  8
740  JPN  9
900  AUL  10
145  BOL  3
150  PAR  2
325  ITA  5
255  GMY  11
140  BRA  2
205  IRE  3
225  SWZ  5
235  POR  3
366  EST  11
367  LAT  6
375  FIN  11
390  DEN  11
560  SAF  3
630  IRN  6
920  NEW  3
211  BEL  4
710  CHN  9
70  MEX  3
640  TUR  3
290  POL  11
310  HUN  5
315  CZE  5
345  YUG  5
339  ALB  5
355  BUL  11
700  AFG  6
368  LIT  11

1927
2  USA  1
20  CAN  1
40  CUB  1
42  DOM  1
70  MEX  1
90  GUA  1
91  HON  1
92  SAL  1
93  NIC  1
95  PAN  1
100  COL  1
101  VEN  1
130  ECU  1
135  PER  1
140  BRA  1
155  CHL  1
160  ARG  2
165  URU  1
200  UKG  3
210  NTH  4
211  BEL  4
220  FRN  4
255  GMY  4
325  ITA  4
350  GRC  1
365  RUS  3
380  SWD  5
710  CHN  6
740  JPN  6
900  AUL  1
94  COS  3
145  BOL  3
150  PAR  2
205  IRE  3
235  POR  3
375  FIN  4
385  NOR  4
390  DEN  4
560  SAF  3
630  IRN  3
920  NEW  3
225  SWZ  4
230  SPN  7
360  ROM  7
290  POL  4
305  AUS  4
315  CZE  4
355  BUL  4
366  EST  4
367  LAT  4
368  LIT  4
310  HUN  4
345  YUG  4
339  ALB  4
800  THI  6

1928
2  USA  1
20  CAN  1
40  CUB  1
42  DOM  1
70  MEX  1
90  GUA  1
91  HON  1
92  SAL  2
93  NIC  1
94  COS  1
95  PAN  1
100  COL  1
101  VEN  1
130  ECU  1
